GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,YardLine,Description,Formation,PlayType,IsPass,IsTouchdown,IsChallenge,IsChallengeReversed,IsInterception,IsFumble,IsTwoPointConversion,IsTwoPointConversionSuccessful,YardLineFixed,YardLineDirection
2016101607,2016-10-16,3,9,33,TEN,CLE,85,"4-R.SUCCOP EXTRA POINT IS GOOD, CENTER-48-B.BRINKLEY, HOLDER-6-B.KERN.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101607,2016-10-16,3,9,33,TEN,CLE,35,"4-R.SUCCOP KICKS 65 YARDS FROM TEN 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101607,2016-10-16,4,6,43,TEN,CLE,85,"4-R.SUCCOP EXTRA POINT IS GOOD, CENTER-48-B.BRINKLEY, HOLDER-6-B.KERN.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101607,2016-10-16,4,6,43,TEN,CLE,35,"4-R.SUCCOP KICKS 65 YARDS FROM TEN 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101607,2016-10-16,4,3,5,NOT APPLICABLE,CLE,0,TIMEOUT #1 BY CLE AT 03:05.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101607,2016-10-16,4,2,7,CLE,TEN,98,(PASS FORMATION) TWO-POINT CONVERSION ATTEMPT. 6-C.KESSLER PASS TO 80-R.LOUIS IS INCOMPLETE. ATTEMPT FAILS.,UNDER CENTER,TWO-POINT CONVERSION,0,0,0,0,0,0,1,0,2,OPP
2016101607,2016-10-16,4,2,7,CLE,TEN,35,(ONSIDE KICK FORMATION) 3-C.PARKEY KICKS ONSIDE 3 YARDS FROM CLE 35 TO CLE 38. RECOVERED BY CLE-81-R.HIGGINS.,UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101607,2016-10-16,4,1,56,NOT APPLICABLE,CLE,0,TWO-MINUTE WARNING,UNDER CENTER,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101607,2016-10-16,4,0,56,NOT APPLICABLE,CLE,0,TIMEOUT #2 BY CLE AT 00:56.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016102311,2016-10-23,4,2,0,NOT APPLICABLE,NE,0,TWO-MINUTE WARNING,UNDER CENTER,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
2016101607,2016-10-16,4,0,40,NOT APPLICABLE,CLE,0,TIMEOUT #3 BY CLE AT 00:40.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101607,2016-10-16,4,0,30,NOT APPLICABLE,CLE,0,TIMEOUT #1 BY TEN AT 00:30.,UNDER CENTER,TIMEOUT,0,0,0,0,0,0,0,0,0,OWN
2016101607,2016-10-16,4,0,27,CLE,TEN,85,"3-C.PARKEY EXTRA POINT IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-4-B.COLQUITT.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101607,2016-10-16,4,0,27,CLE,TEN,35,"(ONSIDE KICK FORMATION) 3-C.PARKEY KICKS ONSIDE 14 YARDS FROM CLE 35 TO CLE 49, OUT OF BOUNDS.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101608,2016-10-16,1,15,0,WAS,PHI,35,"3-D.HOPKINS KICKS 65 YARDS FROM WAS 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016110601,2016-11-06,1,1,7,BAL,PIT,85,"9-J.TUCKER EXTRA POINT IS GOOD, CENTER-46-M.COX, HOLDER-4-S.KOCH.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016110609,2016-11-06,2,0,11,IND,GB,85,"4-A.VINATIERI EXTRA POINT IS GOOD, CENTER-45-M.OVERTON, HOLDER-1-P.MCAFEE.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016110610,2016-11-06,1,10,2,SD,TEN,85,"2-J.LAMBO EXTRA POINT IS NO GOOD, WIDE RIGHT, CENTER-47-M.WINDT, HOLDER-10-K.CLEMENS.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016110610,2016-11-06,3,12,19,TEN,SD,85,"4-R.SUCCOP EXTRA POINT IS GOOD, CENTER-48-B.BRINKLEY, HOLDER-6-B.KERN.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101608,2016-10-16,1,0,51,WAS,PHI,85,"3-D.HOPKINS EXTRA POINT IS GOOD, CENTER-57-N.SUNDBERG, HOLDER-5-T.WAY.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101608,2016-10-16,1,0,51,WAS,PHI,35,"3-D.HOPKINS KICKS 65 YARDS FROM WAS 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101608,2016-10-16,2,7,48,WAS,PHI,85,"3-D.HOPKINS EXTRA POINT IS GOOD, CENTER-57-N.SUNDBERG, HOLDER-5-T.WAY.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101608,2016-10-16,2,7,48,WAS,PHI,20,"3-D.HOPKINS KICKS 66 YARDS FROM WAS 20 TO PHI 14. 28-W.SMALLWOOD FOR 86 YARDS, TOUCHDOWN.",UNDER CENTER,KICK OFF,0,1,0,0,0,0,0,0,20,OWN
2016101608,2016-10-16,2,7,37,PHI,WAS,35,"6-C.STURGIS KICKS 65 YARDS FROM PHI 35 TO END ZONE, TOUCHBACK.",UNDER CENTER,KICK OFF,0,0,0,0,0,0,0,0,35,OWN
2016101608,2016-10-16,2,3,55,PHI,WAS,85,"6-C.STURGIS EXTRA POINT IS GOOD, CENTER-46-J.DORENBOS, HOLDER-8-D.JONES.",UNDER CENTER,EXTRA POINT,0,0,0,0,0,0,0,0,15,OPP
2016101608,2016-10-16,2,2,0,NOT APPLICABLE,PHI,0,TWO-MINUTE WARNING,UNDER CENTER,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,OWN
