GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Description,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,IsInterception,IsFumble,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2016100204,2016-10-02,2,0,15,HOU,TEN,4,1,65,"(:15) (FIELD GOAL FORMATION) PENALTY ON HOU-9-S.LECHLER, DELAY OF GAME, 5 YARDS, ENFORCED AT TEN 35 - NO PLAY.",0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,35,OPP,1,HOU,1,DELAY OF GAME,5
2016100205,2016-10-02,2,12,34,NE,BUF,4,11,34,"(12:34) 6-R.ALLEN PUNTS 56 YARDS TO BUF 10, CENTER-49-J.CARDONA. 15-B.TATE TO BUF 20 FOR 10 YARDS (18-M.SLATER; 43-N.EBNER). PENALTY ON BUF-24-S.GILMORE, UNSPORTSMANLIKE CONDUCT, 5 YARDS, ENFORCED AT BUF 10.",0,PUNT,PUNT,0,0,0,0,,0,0,0,0,0,0,0,,34,OWN,1,BUF,0,UNSPORTSMANLIKE CONDUCT,5
2016120100,2016-12-01,1,3,8,MIN,DAL,3,1,79,"(3:08) (RUN FORMATION) 67-Z.KERIN REPORTED IN AS ELIGIBLE.  48-Z.LINE UP THE MIDDLE TO DAL 17 FOR 4 YARDS (57-D.WILSON). PENALTY ON MIN-76-A.BOONE, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT DAL 21 - NO PLAY.",4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,21,OPP,1,MIN,1,OFFENSIVE HOLDING,10
2016101612,2016-10-16,3,7,14,HOU,IND,2,3,97,"(7:14) (SHOTGUN) 17-B.OSWEILER PASS INCOMPLETE SHORT RIGHT TO 10-D.HOPKINS. PENALTY ON IND-21-V.DAVIS, DEFENSIVE PASS INTERFERENCE, 2 YARDS, ENFORCED AT IND 3 - NO PLAY.",0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,0,0,0,0,,3,OPP,1,IND,1,DEFENSIVE PASS INTERFERENCE,2
2016100208,2016-10-02,2,13,10,DEN,TB,1,10,73,"(13:10) PENALTY ON DEN-73-R.OKUNG, FALSE START, 5 YARDS, ENFORCED AT TB 27 - NO PLAY.",0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,27,OPP,1,DEN,1,FALSE START,5
2016100211,2016-10-02,1,11,7,DAL,SF,3,2,71,"(11:07) PENALTY ON DAL-41-K.SMITH, FALSE START, 5 YARDS, ENFORCED AT SF 29 - NO PLAY.",0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,29,OPP,1,DAL,1,FALSE START,5
2016100211,2016-10-02,2,11,51,DAL,SF,2,10,36,"(11:51) (SHOTGUN) 46-A.MORRIS UP THE MIDDLE TO DAL 38 FOR 2 YARDS (55-A.BROOKS). PENALTY ON SF-35-E.REID, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT DAL 36 - NO PLAY.",2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,36,OWN,1,SF,1,DEFENSIVE OFFSIDE,5
2016120401,2016-12-04,2,12,36,MIA,BAL,2,3,69,"(12:36) (SHOTGUN) PENALTY ON MIA-11-D.PARKER, FALSE START, 5 YARDS, ENFORCED AT BAL 31 - NO PLAY.",0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,31,OPP,1,MIA,1,FALSE START,5
2016120401,2016-12-04,2,3,14,BAL,MIA,2,7,91,"(3:14) (NO HUDDLE, SHOTGUN) PENALTY ON BAL-62-V.DUCASSE, FALSE START, 5 YARDS, ENFORCED AT MIA 9 - NO PLAY.",0,NO HUDDLE SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,9,OPP,1,BAL,1,FALSE START,5
2016100600,2016-10-06,3,1,50,ARI,SF,2,10,25,"(1:50) (SHOTGUN) 5-D.STANTON PASS SHORT MIDDLE TO 11-L.FITZGERALD TO ARI 41 FOR 16 YARDS (26-T.BROCK). PENALTY ON ARI-89-H.VALLES, OFFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT ARI 25 - NO PLAY.",16,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,0,0,,25,OWN,1,ARI,1,OFFENSIVE PASS INTERFERENCE,10
2016100600,2016-10-06,3,0,50,ARI,SF,3,9,26,"(:50) (SHOTGUN) 5-D.STANTON PASS INCOMPLETE DEEP RIGHT TO 13-JA.BROWN. PENALTY ON SF-98-R.BLAIR, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT ARI 26 - NO PLAY.",0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,0,0,0,0,,26,OWN,1,SF,1,DEFENSIVE OFFSIDE,5
2016100903,2016-10-09,3,4,11,CHI,IND,4,9,64,"(4:11) 4-C.BARTH 54 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-48-P.SCALES, HOLDER-16-P.O'DONNELL. PENALTY ON IND-32-T.GREEN, RUNNING INTO THE KICKER, 5 YARDS, ENFORCED AT IND 36 - NO PLAY.",0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,0,0,0,0,,36,OPP,1,IND,1,RUNNING INTO THE KICKER,5
2016100908,2016-10-09,1,6,16,DAL,CIN,1,10,11,"(6:16) 21-E.ELLIOTT LEFT TACKLE TO DAL 16 FOR 5 YARDS (92-P.SIMS). PENALTY ON DAL-77-T.SMITH, OFFENSIVE HOLDING, 5 YARDS, ENFORCED AT DAL 11 - NO PLAY.",5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT TACKLE,11,OWN,1,DAL,1,OFFENSIVE HOLDING,5
2016103000,2016-10-30,3,4,22,WAS,CIN,1,10,55,"(4:22) 32-R.KELLEY LEFT GUARD TO CIN 41 FOR 4 YARDS (94-D.PEKO). PENALTY ON CIN-94-D.PEKO, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT CIN 41.",4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT GUARD,45,OPP,1,CIN,0,UNNECESSARY ROUGHNESS,15
